RepNam	halfLive_h	Ensembl_Gene	RefSeq_nuc1	Ensembl_nuc
NM_138370	1.98 	ENSG00000162878.13	NM_138370	ENST00000294964.6
NM_001039664	1.98 			
NM_148966	1.98 			
NM_148965	1.98 			
NM_148970	1.98 			
NM_148967	1.98 			
NM_003790	1.98 	ENSG00000215788.11	NM_003790	ENST00000356876.8
NM_000894	1.98 	ENSG00000104826.15	NM_000894	ENST00000649238.3
NM_014079	1.98 	ENSG00000163884.4	NM_014079	ENST00000296233.4
NM_001045476	1.98 	ENSG00000136918.8	NM_001045476	ENST00000373574.2
NM_024639	1.98 	ENSG00000181315.11	NM_024639	ENST00000415922.7
NM_033411	1.98 	ENSG00000013392.8	NM_033411	ENST00000369724.5
NM_002083	1.98 	ENSG00000176153.13	NM_002083	ENST00000389614.6
NM_001007533	1.98 	ENSG00000182676.5	NM_001007533	ENST00000330261.5
NM_148979	1.98 			
NM_004390	1.98 	ENSG00000103811.18	NM_004390	ENST00000220166.10
NM_023940	1.98 	ENSG00000128045.7	NM_023940	ENST00000248706.5
NM_005293	2.00 	ENSG00000204882.4	NM_005293	ENST00000377741.4
NM_152485	2.00 	ENSG00000162757.4	NM_152485	ENST00000294811.2
NM_006763	2.00 	ENSG00000159388.6	NM_006763	ENST00000290551.5
NM_006300	2.00 	ENSG00000159882.13	NM_006300	ENST00000429154.7
NM_203403	2.00 	ENSG00000153714.6	NM_203403	ENST00000319264.4
NM_032521	2.02 	ENSG00000124171.9	NM_032521	ENST00000371610.7
NM_021146	2.02 	ENSG00000171819.5	NM_021146	ENST00000376819.4
NM_007147	2.02 	ENSG00000105497.8	NM_007147	ENST00000262259.7
NM_182699	2.02 	ENSG00000184735.7	NM_182699	ENST00000327968.7
NM_012342	2.04 	ENSG00000095739.11	NM_012342	ENST00000375533.6
NM_001024675	2.04 	ENSG00000288649.2	NM_001024675	ENST00000677665.1
NM_152268	2.04 	ENSG00000162396.6	NM_152268	ENST00000371279.4
NM_024310	2.04 	ENSG00000166289.6	NM_024310	ENST00000436066.4
NM_213598	2.04 	ENSG00000178229.8	NM_213598	ENST00000321545.5
NM_014383	2.04 	ENSG00000011590.14	NM_014383	ENST00000392197.7
NM_025231	2.04 	ENSG00000196812.6	NM_025231	ENST00000340487.5
NM_001008404	2.04 	ENSG00000184601.11	NM_001008404	ENST00000557649.6
NM_001004055	2.04 			
NM_012163	2.04 			
NM_152465	2.04 			
NM_017565	2.04 	ENSG00000108950.12	NM_017565	ENST00000592554.2
NM_001335	2.04 	ENSG00000172543.9	NM_001335	ENST00000307886.8
NM_020801	2.06 	ENSG00000113369.9	NM_020801	ENST00000265138.4
NM_005199	2.06 	ENSG00000196811.13	NM_005199	ENST00000651502.1
NM_014484	2.06 	ENSG00000124217.5	NM_014484	ENST00000244051.3
NM_018444	2.06 	ENSG00000164951.16	NM_018444	ENST00000297598.5
NM_138455	2.06 	ENSG00000164932.13	NM_138455	ENST00000330295.10
NM_025195	2.06 	ENSG00000173334.4	NM_025195	ENST00000311922.4
NM_018566	2.06 	ENSG00000180667.11	NM_018566	ENST00000315927.9
NM_001559	2.06 			
NM_006472	2.06 	ENSG00000265972.6	NM_006472	ENST00000582401.6
NM_198480	2.06 			
NM_020169	2.06 	ENSG00000079257.8	NM_020169	ENST00000264265.4
NM_181727	2.06 	ENSG00000186451.2	NM_181727	ENST00000334325.2
NM_001001712	2.06 	ENSG00000187922.14	NM_001001712	ENST00000497771.6
NM_005384	2.06 	ENSG00000165030.4	NM_005384	ENST00000297689.4
NM_006647	2.06 			
NM_024014	2.06 	ENSG00000106006.6	NM_024014	ENST00000222728.3
NM_001014830	2.06 			
NM_018348	2.06 	ENSG00000180917.18	NM_018348	ENST00000434935.7
NM_003885	2.06 	ENSG00000176749.9	NM_003885	ENST00000313401.4
NM_148886	2.06 			
NM_139162	2.06 	ENSG00000177427.13	NM_139162	ENST00000323019.9
NM_203371	2.06 	ENSG00000176971.4	NM_203371	ENST00000318627.4
NM_003772	2.06 			
NM_183375	2.06 	ENSG00000189099.12	NM_183375	ENST00000455694.7
NM_020177	2.08 	ENSG00000145780.8	NM_020177	ENST00000274457.5
NM_001002919	2.08 	ENSG00000189292.16	NM_001002919	ENST00000403610.9
NM_016544	2.08 	ENSG00000115137.12	NM_016544	ENST00000264711.7
NM_025203	2.08 	ENSG00000163026.12	NM_025203	ENST00000295148.9
NM_012476	2.08 	ENSG00000116035.4	NM_012476	ENST00000234392.3
NM_006242	2.08 	ENSG00000132825.7	NM_006242	ENST00000370996.5
NM_000825	2.08 			
NM_018364	2.08 	ENSG00000081019.14	NM_018364	ENST00000261441.9
NM_052943	2.08 	ENSG00000158246.8	NM_052943	ENST00000289166.6
NM_004433	2.08 	ENSG00000163435.16	NM_004433	ENST00000367284.10
NM_024869	2.08 	ENSG00000197245.6	NM_024869	ENST00000374268.5
NM_133444	2.08 	ENSG00000167625.11	NM_133444	ENST00000301215.8
NM_152791	2.08 	ENSG00000186300.12	NM_152791	ENST00000334241.9
NM_145071	2.08 	ENSG00000114737.16	NM_145071	ENST00000348721.4
NM_138333	2.08 	ENSG00000187866.10	NM_138333	ENST00000394264.7
NM_014830	2.08 	ENSG00000166860.3	NM_014830	ENST00000300101.3
NM_017633	2.08 	ENSG00000112773.16	NM_017633	ENST00000320172.11
NM_003532	2.08 	ENSG00000274750.3	NM_003532	ENST00000614911.3
NM_152457	2.08 	ENSG00000167981.7	NM_152457	ENST00000301744.7
NM_024712	2.08 	ENSG00000102890.16	NM_024712	ENST00000393997.8
NM_003955	2.08 	ENSG00000184557.4	NM_003955	ENST00000330871.3
NM_024784	2.08 			
NM_145805	2.08 	ENSG00000159556.10	NM_145805	ENST00000290759.9
NM_001001703	2.11 			
NM_004040	2.11 	ENSG00000143878.10	NM_004040	ENST00000272233.6
NM_138395	2.11 	ENSG00000247626.5	NM_138395	ENST00000282276.8
NM_001017396	2.11 			
NM_021088	2.11 	ENSG00000275111.5	NM_021088	ENST00000614034.5
NM_001008490	2.11 			
NM_001300	2.11 	ENSG00000067082.15	NM_001300	ENST00000497571.6
NM_024747	2.11 	ENSG00000166189.8	NM_024747	ENST00000299238.7
NM_019058	2.11 	ENSG00000168209.6	NM_019058	ENST00000307365.4
NM_198391	2.11 	ENSG00000125848.10	NM_198391	ENST00000341420.5
NM_013281	2.11 			
NM_080489	2.11 	ENSG00000125775.15	NM_080489	ENST00000360779.4
NM_015685	2.11 			
